               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.022289,           0.0099153,           0.0077003,             0.99196,             0.99615,             0.99386,               0.826,            0.011258,           0.0044157,          0.00067088,            0.006898,            0.006898,            0.006898
                  96,            0.021582,           0.0091698,           0.0066006,             0.99563,             0.99245,             0.99407,             0.83323,             0.01134,           0.0044328,          0.00067167,            0.006865,            0.006865,            0.006865
                  97,            0.021005,           0.0091362,            0.005765,             0.99428,             0.99571,             0.99399,             0.84885,             0.01124,           0.0041828,          0.00057837,            0.006832,            0.006832,            0.006832
                  98,            0.022453,           0.0093918,           0.0067311,               0.992,             0.99305,             0.99409,             0.84374,            0.010336,           0.0041756,          0.00066763,            0.006799,            0.006799,            0.006799
                  99,             0.02364,           0.0088904,           0.0066686,             0.99275,             0.99412,             0.99401,             0.84572,            0.011803,           0.0042174,          0.00074396,            0.006766,            0.006766,            0.006766
                 100,             0.02329,           0.0094069,           0.0072405,             0.99255,             0.99025,             0.99435,             0.84067,            0.010268,           0.0042898,          0.00077917,            0.006733,            0.006733,            0.006733
                 101,            0.021423,           0.0092039,            0.007488,                0.99,             0.98882,             0.99398,             0.84472,            0.010772,           0.0041963,          0.00073547,              0.0067,              0.0067,              0.0067
                 102,            0.020791,           0.0089244,           0.0071811,             0.96265,             0.96019,             0.98777,              0.7947,            0.012626,           0.0051373,           0.0023716,            0.006667,            0.006667,            0.006667
                 103,            0.021192,           0.0092637,           0.0075164,             0.96308,              0.9391,             0.98345,              0.8068,            0.011621,           0.0050821,           0.0025246,            0.006634,            0.006634,            0.006634
                 104,            0.021348,           0.0092373,           0.0068261,             0.99331,              0.9931,             0.99458,             0.83625,            0.012356,           0.0045766,          0.00062037,            0.006601,            0.006601,            0.006601
                 105,            0.021999,            0.009274,           0.0065552,              0.9894,             0.99487,             0.99426,             0.83054,            0.011978,           0.0044493,          0.00077956,            0.006568,            0.006568,            0.006568
                 106,             0.02106,           0.0096206,           0.0074461,             0.98707,              0.9825,             0.99291,             0.82231,            0.011506,           0.0046065,          0.00091549,            0.006535,            0.006535,            0.006535
                 107,            0.021244,           0.0090629,           0.0078695,             0.99316,             0.99443,             0.99451,             0.84096,            0.010547,           0.0042668,          0.00055047,            0.006502,            0.006502,            0.006502
                 108,            0.021569,           0.0091308,           0.0071122,             0.99045,             0.99663,             0.99455,             0.84113,            0.010364,           0.0042719,          0.00054405,            0.006469,            0.006469,            0.006469
                 109,            0.021038,           0.0090891,           0.0073816,             0.99139,             0.98788,             0.99395,             0.83084,            0.010928,           0.0047676,          0.00069447,            0.006436,            0.006436,            0.006436
                 110,            0.020795,            0.008828,            0.007405,              0.9965,             0.99713,             0.99445,               0.846,            0.010161,             0.00424,          0.00051555,            0.006403,            0.006403,            0.006403
                 111,            0.020621,           0.0084317,           0.0058995,             0.99446,             0.99489,             0.99453,             0.85503,           0.0098094,           0.0041322,          0.00078408,             0.00637,             0.00637,             0.00637
                 112,            0.020359,           0.0089107,           0.0054599,             0.99227,             0.98889,             0.99457,             0.84729,            0.010626,           0.0041361,           0.0010552,            0.006337,            0.006337,            0.006337
                 113,            0.021262,           0.0088444,           0.0072096,              0.9944,             0.99698,             0.99457,             0.84765,            0.011079,           0.0042361,          0.00052884,            0.006304,            0.006304,            0.006304
                 114,            0.020115,           0.0086431,           0.0061615,             0.99283,             0.99748,             0.99443,             0.84597,             0.01045,           0.0041323,            0.000703,            0.006271,            0.006271,            0.006271
                 115,            0.020892,           0.0088982,           0.0058555,             0.99325,             0.99416,             0.99409,             0.84531,            0.010471,           0.0041736,          0.00060322,            0.006238,            0.006238,            0.006238
                 116,            0.020532,           0.0087049,           0.0061447,             0.99619,             0.99556,             0.99464,             0.85274,             0.01026,           0.0039693,          0.00046808,            0.006205,            0.006205,            0.006205
                 117,            0.021126,           0.0088238,            0.006095,             0.98631,             0.99445,             0.99432,             0.84928,           0.0097917,           0.0041611,          0.00075204,            0.006172,            0.006172,            0.006172
                 118,            0.020717,           0.0090384,           0.0067295,              0.9966,             0.99648,             0.99451,             0.85916,            0.009889,            0.003972,          0.00056774,            0.006139,            0.006139,            0.006139
                 119,            0.020305,           0.0091463,           0.0054513,             0.99603,             0.99722,             0.99435,             0.85181,            0.010221,           0.0040328,          0.00046934,            0.006106,            0.006106,            0.006106
                 120,            0.019976,           0.0091848,           0.0070634,             0.99769,             0.99706,             0.99451,             0.86019,           0.0099078,           0.0039812,          0.00042919,            0.006073,            0.006073,            0.006073
                 121,            0.020537,           0.0088989,           0.0055895,             0.99769,             0.99685,             0.99451,             0.85438,            0.010027,           0.0039315,          0.00044589,             0.00604,             0.00604,             0.00604
                 122,            0.020028,           0.0086803,           0.0064052,             0.99379,             0.99338,             0.99457,             0.84235,            0.010105,           0.0039834,          0.00065694,            0.006007,            0.006007,            0.006007
                 123,            0.021626,           0.0088015,           0.0063159,             0.99191,             0.99581,             0.99471,              0.8459,            0.010209,            0.004038,          0.00057122,            0.005974,            0.005974,            0.005974
                 124,            0.021369,           0.0085592,             0.00561,             0.99707,             0.99799,             0.99458,             0.86667,           0.0091441,           0.0038036,          0.00043692,            0.005941,            0.005941,            0.005941
                 125,            0.020755,           0.0086677,           0.0066455,             0.99558,             0.99743,              0.9948,             0.85922,           0.0093617,           0.0039417,          0.00052986,            0.005908,            0.005908,            0.005908
                 126,            0.019656,            0.008806,            0.006748,             0.99728,             0.99521,             0.99474,             0.85939,           0.0091489,            0.003933,          0.00045255,            0.005875,            0.005875,            0.005875
                 127,            0.019119,           0.0088447,           0.0063954,             0.99759,             0.99415,             0.99449,             0.86209,           0.0093283,           0.0039001,          0.00040836,            0.005842,            0.005842,            0.005842
                 128,            0.020232,           0.0083394,           0.0066369,             0.99633,             0.99603,             0.99434,             0.86308,           0.0094252,           0.0039654,          0.00047389,            0.005809,            0.005809,            0.005809
                 129,            0.019892,           0.0087488,           0.0058718,              0.9924,             0.98997,             0.99391,             0.85599,            0.009782,           0.0039601,          0.00062274,            0.005776,            0.005776,            0.005776
                 130,            0.019408,           0.0083231,           0.0063875,             0.99617,             0.99765,             0.99468,             0.86086,           0.0094427,           0.0038358,           0.0003873,            0.005743,            0.005743,            0.005743
                 131,            0.019821,           0.0084131,           0.0055818,             0.99572,             0.99376,             0.99459,             0.85657,            0.010102,           0.0040017,          0.00037409,             0.00571,             0.00571,             0.00571
                 132,            0.019096,            0.008663,           0.0055227,             0.99625,              0.9985,             0.99467,             0.86862,           0.0092849,           0.0038443,          0.00048052,            0.005677,            0.005677,            0.005677
                 133,            0.017696,           0.0085337,           0.0049652,             0.99771,             0.99754,             0.99448,              0.8721,           0.0095146,           0.0037843,          0.00033842,            0.005644,            0.005644,            0.005644
                 134,            0.019795,           0.0085505,           0.0069192,             0.99597,             0.99597,             0.99388,              0.8545,           0.0098366,           0.0039708,           0.0005307,            0.005611,            0.005611,            0.005611
                 135,              0.0198,           0.0084085,           0.0056607,             0.99458,             0.99715,             0.99416,             0.86444,           0.0090952,            0.003823,          0.00045575,            0.005578,            0.005578,            0.005578
                 136,            0.020857,           0.0084982,           0.0053753,             0.99149,             0.99422,             0.99419,             0.85011,           0.0094518,           0.0041987,          0.00068344,            0.005545,            0.005545,            0.005545
